SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
532966,TITAGARH WAG,52.45,55.6,52.15,53.85
532967,KIRI DYES   ,472.7,472.7,457.0,462.8
532972,SANKHYA INFO,3.65,3.72,3.56,3.57
532974,ABML        ,44.0,49.85,44.0,47.8
532975,AISHWARYA   ,2.75,2.75,2.75,2.75
532976,JAIBALA IND ,49.0,49.6,48.05,48.1
532977,BAJAJ AUTO  ,4080.0,4132.65,4054.95,4124.15
532978,BAJAJ FINSE ,11298.0,11411.4,11216.55,11269.75
532980,GOKUL REFOIL,26.35,26.65,24.8,24.85
532983,RPG LIFESCI ,462.2,467.0,449.8,450.4
532985,KOTAK SENSEX,517.0,522.75,515.1,516.8
532986,NIRAJ CEMENT,44.75,44.75,39.85,39.9
532987,RANE BRAKE  ,866.85,891.0,866.85,878.0
532988,RANE ENGVL  ,294.3,301.05,279.8,281.7
532989,BAFNA PHARMA,137.65,138.55,135.9,138.05
532992,CHL LTD     ,6.74,6.74,6.74,6.74
532994,ARCHIDPLY IN,35.1,36.1,35.1,35.8
532998,LEHIL       ,51.4,52.45,49.25,51.0
533001,SOMI CONVEY ,51.0,51.95,49.55,51.2
533007,LGB FORGE   ,4.65,4.8,4.6,4.75
533012,LANDMRK PRO ,2.2,2.31,2.15,2.21
533014,SICAGEN IND ,19.05,20.0,19.05,19.75
533022,20 MICRONS  ,66.05,68.2,61.65,62.75
533023,WABCO       ,6851.5,6875.9,6698.3,6752.85
533029,ALKALI      ,60.3,61.4,58.6,60.05
533033,ISGEC       ,545.7,549.0,534.05,537.0
533047,INDIAN MET  ,417.0,426.55,411.55,412.75
533048,GI ENGINERG ,2.51,2.54,2.51,2.54
533056,VEDAVAAG    ,33.0,33.0,30.05,31.2
533078,MANJEERA    ,30.95,30.95,30.9,30.9
533080,MOLDTKPACK  ,475.0,476.1,463.0,471.1
533088,MAH HOLIDAY ,221.5,222.0,216.05,217.05
533090,EXCEL       ,2.47,2.59,2.47,2.57
533093,RAJ OIL     ,99.3,104.2,97.3,104.2
533095,BENGLA& ASM ,1500.0,1581.0,1450.0,1525.05
533096,ADANI POWER ,101.9,102.8,100.05,101.15
533098,NHPC        ,25.85,25.85,25.55,25.6
533101,SURYAMBA SP ,96.75,96.75,88.7,89.55
533104,GLOBUS SPR  ,332.0,332.0,322.25,323.25
533106,OIL INDIA   ,134.65,134.65,131.45,131.6
533107,RNAVAL      ,2.9,2.9,2.81,2.83
533108,BHILWRA TEC ,6.54,6.55,6.01,6.1
533121,EXPLEOSOL   ,675.0,675.95,632.0,642.0
533122,RTNPOWER    ,3.15,3.24,3.11,3.14
533137,DEN NETWORK ,44.45,48.4,44.15,47.7
533138,ASTEC LIFE  ,1261.5,1284.25,1253.75,1273.35
533144,COX KINGS   ,1.11,1.18,1.11,1.13
533146,DLINK IND   ,108.85,111.5,108.3,109.15
533148,JSW ENERGY  ,117.6,118.45,115.7,117.0
533149,ESSAR SECU  ,3.39,3.39,3.09,3.38
