SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532735,RSYSTEMINT  ,A ,Q,130.00,152.10,127.00,152.10,152.10,126.75,3370,122615,17416106.00,
532737,EMKAY GLOB F,B ,Q,69.85,76.00,66.10,73.10,72.55,70.45,1081,37044,2692672.00,
532738,TANTIA CONS ,Z ,Q,9.19,9.19,8.70,9.19,9.19,8.76,81,25631,234974.00,
532740,LOKESH MACH ,T ,Q,46.75,46.75,44.25,46.00,46.00,46.45,40,5095,230108.00,
532741,KAMDHENU    ,B ,Q,149.80,153.40,147.25,148.50,148.80,147.25,335,7649,1141697.00,
532742,PAUSHAK LTD ,B ,Q,7340.50,7594.00,7266.60,7498.40,7490.00,7340.50,256,1942,14570645.00,
532744,GTN TEXTILE ,B ,Q,6.00,6.00,6.00,6.00,6.00,6.05,3,400,2400.00,
532745,INDICAP     ,X ,Q,30.15,32.95,29.25,30.95,30.75,30.45,47,4308,131999.00,
532748,PRIME FOCUS ,T ,Q,65.40,67.45,63.50,65.25,66.90,65.50,32,5282,338626.00,
532749,ALLCARGO    ,A ,Q,124.00,124.40,123.15,123.55,123.55,123.65,436,4655,575969.00,
532751,EASUNREYRL  ,Z ,Q,2.50,2.50,2.36,2.36,2.36,2.48,3,501,1182.00,
532754,GMR INFRASTR,A ,Q,23.50,24.45,23.50,24.25,24.25,23.70,1077,863245,20699280.00,
532755,TECH MAH    ,A ,Q,963.00,984.65,957.70,977.75,977.75,961.70,5509,141333,137554935.00,
532756,MAHINDCIE   ,A ,Q,175.25,182.65,175.05,180.65,180.65,172.65,2349,83660,14959824.00,
532757,VOLTAMP TRAN,A ,Q,1100.90,1110.00,1077.95,1099.95,1098.00,1097.30,341,1116,1221879.00,
532759,ATLANTA     ,B ,Q,7.86,7.86,7.34,7.45,7.45,7.56,22,1904,14175.00,
532760,DEEPENR     ,B ,Q,43.05,44.40,38.95,39.60,39.70,41.40,677,55083,2275667.00,
532761,HOV SERVICES,B ,Q,44.60,48.35,44.60,48.35,48.35,46.05,67,1536,71563.00,
532762,ACTION CONST,A ,Q,145.00,146.40,140.00,141.00,141.65,145.10,937,14062,2001818.00,
532764,GEECEE      ,B ,Q,104.15,119.65,103.10,112.70,112.70,103.40,1560,66744,7536684.00,
532766,RICHA IND   ,Z ,Q,0.63,0.63,0.60,0.63,0.63,0.60,8,4200,2601.00,
532767,GAYATRI PROJ,B ,Q,28.55,28.80,27.30,28.25,28.00,28.60,772,103470,2892602.00,
532768,FIEM INDS   ,B ,Q,570.00,581.40,560.00,572.45,570.00,566.40,589,5769,3284325.00,
532771,JHS SVEN    ,B ,Q,20.00,20.00,19.30,19.65,19.65,19.85,135,9961,196110.00,
532772,DCBBANK     ,A ,Q,91.00,91.10,89.80,90.20,90.20,89.65,898,86452,7809166.00,
532773,GLOBAL VECT ,Z ,Q,44.00,44.85,42.15,43.50,43.45,43.00,16,919,39667.00,
532774,INSPIRISYS  ,B ,Q,46.30,49.80,46.30,49.25,49.00,48.00,145,4154,200289.00,
532775,GTL INFRAST ,B ,Q,0.68,0.70,0.67,0.69,0.69,0.68,507,4186132,2852405.00,
532776,SHIVAM AUTO ,B ,Q,19.60,19.80,18.90,19.45,19.50,19.35,278,30119,587106.00,
532777,INFO EDGE   ,A ,Q,4850.00,4874.30,4726.00,4758.35,4759.00,4842.45,2438,11942,56967183.00,
532779,TORNT POWER ,A ,Q,416.50,417.55,408.40,412.65,412.85,410.40,726,27599,11386699.00,
532780,PARSVNATH   ,B ,Q,7.95,7.95,7.54,7.60,7.54,7.75,34,8796,66941.00,
532782,SUTLEJ TEXT ,B ,Q,45.00,50.90,44.00,49.90,49.90,43.45,1546,212387,10222470.00,
532783,DAAWAT      ,A ,Q,79.90,80.40,76.90,77.60,77.60,79.35,2385,320584,25059589.00,
532784,SOBHA       ,A ,Q,492.65,492.65,475.10,477.55,479.20,485.85,487,10644,5094691.00,
532785,RUCHIRA PAP ,B ,Q,64.70,64.95,63.10,63.55,63.60,64.90,298,4617,294220.00,
532790,TANLA       ,B ,Q,858.10,909.95,858.10,886.20,885.00,866.65,2572,74917,67500719.00,
532794,ZEEMEDIA    ,B ,Q,6.82,7.49,6.82,7.49,7.49,6.81,989,742619,5422809.00,
532795,SITINET     ,B ,Q,0.83,0.91,0.79,0.87,0.87,0.83,1182,13874331,12244486.00,
532796,LUMAX TECH  ,B ,Q,139.65,140.35,137.30,138.45,139.15,138.05,208,4755,662817.00,
532797,AUTOIND     ,B ,Q,34.85,35.45,34.20,34.75,34.75,34.85,23,1724,59495.00,
532798,NTWK MED INV,A ,Q,38.90,41.20,38.50,40.65,40.65,38.95,1239,237848,9518948.00,
532799,HUBTOWN     ,B ,Q,15.95,16.00,15.55,15.75,15.75,15.70,132,3395,53642.00,
532800,TV18BRDCST  ,A ,Q,33.30,36.55,33.10,36.30,36.30,33.20,3016,1743861,61666626.00,
532801,CAMBRIDGE   ,B ,Q,29.70,29.70,27.95,28.95,29.45,28.55,32,1387,40070.00,
532804,TECHNOCRAFT ,B ,Q,399.90,414.80,394.20,404.40,404.45,399.20,196,1890,764544.00,
532805,REDINGTON   ,A ,Q,179.00,181.55,177.30,179.80,180.00,177.75,596,299373,53714047.00,
532806,AI CHAMPDNY ,XT,Q,10.26,11.00,10.26,11.00,11.00,10.80,6,11,116.00,
532807,CINELINE    ,B ,Q,31.00,33.50,31.00,32.35,33.40,32.75,70,5120,167176.00,
532808,PGIL        ,B ,Q,180.00,180.10,177.00,178.15,177.05,181.80,25,680,121288.00,
532809,FSL         ,A ,Q,128.80,133.75,126.75,130.80,130.80,127.50,3910,388095,50754958.00,
532810,POWER FINAN ,A ,Q,110.05,110.40,108.60,108.90,108.90,109.20,2290,338311,37011496.00,
532811,AHLUWALIA CO,A ,Q,293.30,300.00,280.30,290.75,293.95,292.80,107,1319,380875.00,
532812,TRANSWARRANT,B ,Q,2.45,2.55,2.45,2.53,2.55,2.45,11,2500,6291.00,
532813,C & C CONSTR,Z ,Q,4.99,5.06,4.61,4.65,4.65,4.85,14,5704,26454.00,
532814,INDIAN BANK ,A ,Q,114.30,115.80,112.75,113.75,113.75,114.35,1696,180366,20523985.00,
532815,SMS PHARMACE,B ,Q,159.65,161.60,155.45,157.85,157.85,158.75,887,24818,3931534.00,
532817,ORIENTAL    ,B ,Q,7.48,7.80,6.90,7.01,7.09,7.45,70,10183,73542.00,
532819,MINDTREE LTD,A ,Q,2180.00,2300.00,2146.45,2247.65,2247.65,2165.95,5368,81365,182499615.00,
532820,ELAND       ,X ,Q,4.46,4.46,4.11,4.36,4.36,4.08,63,15885,68461.00,
532822,IDEA        ,A ,Q,8.39,8.41,8.26,8.31,8.31,8.37,46272,21406925,178131428.00,
532825,JAGJANANI   ,X ,Q,0.53,0.53,0.53,0.53,0.53,0.53,1,3,1.00,
532826,RAJ TELE    ,B ,Q,35.50,37.45,35.10,36.70,36.60,36.00,39,902,32443.00,
532827,PAGE INDUSTR,A ,Q,29657.75,29764.15,29438.30,29522.40,29559.35,29651.20,203,334,9871016.00,
532828,AMD INDUS   ,B ,Q,19.50,19.90,19.05,19.45,19.45,19.05,52,8326,163314.00,
532829,LEHAR       ,XT,Q,27.10,27.50,26.10,27.00,27.00,27.05,12,7547,202820.00,
532830,ASTRAL POLY ,A ,Q,1571.00,1598.50,1567.00,1582.70,1582.70,1571.50,2604,18276,28912905.00,
532832,INDBUL REAL ,A ,Q,77.40,78.45,76.00,76.85,76.85,77.35,1147,160213,12389828.00,
532834,CAMLINFINE  ,A ,Q,167.00,169.90,160.90,165.00,165.00,164.85,1694,89019,14772114.00,
532835,ICRA        ,A ,Q,3372.00,3600.00,3307.20,3383.35,3392.25,3279.60,760,2606,9082425.00,
532839,DISH TV     ,A ,Q,11.85,12.11,11.55,11.80,11.80,11.66,3297,2758475,32722808.00,
532841,SAHYA INDU  ,X ,Q,363.00,366.00,355.00,359.50,359.50,363.15,366,14376,5168247.00,
532842,SREE RAYALA ,B ,Q,300.00,305.00,291.00,299.30,302.75,299.00,358,4433,1330573.00,
532843,FORTIS      ,A ,Q,223.00,223.35,218.45,219.65,219.65,221.15,2892,235100,51794191.00,
532845,TGBHOTELS   ,B ,Q,5.15,5.15,4.69,4.80,4.80,4.84,21,1850,8997.00,
532847,HILTON MET  ,T ,Q,10.75,10.75,10.40,10.46,10.46,10.48,10,404,4298.00,
532848,DELTA CORP  ,A ,Q,151.70,151.70,146.30,146.90,146.90,148.85,3553,343480,50716509.00,
532850,MIC ELECTRON,B ,Q,0.88,0.88,0.88,0.88,0.88,0.84,9,7466,6570.00,
532851,INSECTCID   ,A ,Q,512.55,518.55,509.50,516.75,515.00,507.00,940,7053,3634316.00,
532852,MCD HOLDING ,B ,Q,39.00,40.70,39.00,39.60,39.75,38.55,173,2690,105736.00,
532853,ASAHI SONG  ,B ,Q,380.60,381.00,363.40,368.00,379.15,383.70,244,5217,1958809.00,
532854,NITIN FIRE  ,Z ,Q,0.62,0.63,0.61,0.62,0.61,0.64,26,52142,32123.00,
532855,HARYA CAPFIN,X ,Q,30.60,30.60,30.60,30.60,30.60,31.95,2,17,520.00,
532856,TIME TECHNO ,A ,Q,77.50,78.30,75.00,77.45,78.00,77.00,1130,179826,13855039.00,
532859,HGSL        ,A ,Q,1681.05,1720.00,1621.00,1675.15,1673.75,1681.35,275,1749,2916162.00,
532864,NELCAST     ,B ,Q,71.05,73.00,68.00,70.80,70.35,70.10,860,46828,3323810.00,
532865,MEGHMANI    ,A ,Q,149.30,149.40,142.70,143.50,143.50,148.35,3435,182003,26289256.00,
532867,V2RETAIL    ,B ,Q,109.00,110.00,105.20,107.65,108.50,110.05,171,3100,332797.00,
532868,DLF LIMITED ,A ,Q,251.00,251.30,245.20,250.35,249.25,248.55,2139,234815,58291124.00,
532869,TARMAT      ,B ,Q,48.20,49.00,48.05,49.00,49.00,48.45,62,418,20092.00,
532870,ANKIT METAL ,B ,Q,1.14,1.14,1.10,1.14,1.14,1.09,56,78990,89947.00,
532872,SUNPHA ADV  ,A ,Q,187.95,188.35,180.50,181.45,181.40,185.50,1367,88225,16276030.00,
532873,HOUSING DEV ,Z ,Q,4.75,4.94,4.70,4.70,4.70,4.71,136,98145,469734.00,
532874,SURYACHAKRA ,Z ,Q,0.44,0.46,0.42,0.46,0.46,0.44,25,84860,37278.00,
532875,ALLIED DIGIT,B ,Q,46.65,48.25,46.65,47.50,47.10,47.65,377,31232,1491152.00,
532878,ALPA LAB    ,T ,Q,60.40,60.40,60.40,60.40,60.40,57.55,87,23281,1406172.00,
532879,SIR SHADI LA,X ,Q,54.45,57.00,54.45,55.90,56.10,57.05,25,6790,376033.00,
532880,OMAXE LTD   ,A ,Q,68.50,68.95,67.80,68.50,68.95,68.65,131,1888,129599.00,
532884,REFEX       ,B ,Q,137.00,137.00,130.10,132.30,132.40,133.20,448,13924,1859702.00,
532885,CENTRAL BK  ,A ,Q,16.95,17.20,16.30,16.60,16.60,16.80,17417,970689,16341671.00,
532887,NTL         ,B ,Q,0.80,0.80,0.80,0.80,0.80,0.82,5,2353,1882.00,
532888,ASIAN GRANIT,A ,Q,154.50,157.75,152.75,155.55,155.65,153.05,386,6812,1055754.00,
532889,K.P.R. MILL ,A ,Q,1517.85,1517.85,1443.65,1451.00,1446.15,1456.35,399,1780,2590888.00,
532890,TAKE SOLUT  ,A ,Q,56.95,59.20,55.55,57.00,57.00,56.55,4550,882944,50869639.00,
532891,PURAVANKARA ,B ,Q,69.80,73.45,69.80,72.10,72.50,70.05,379,7695,555135.00,
532892,MOTILALOFS  ,A ,Q,665.15,734.00,665.15,708.10,708.10,659.65,4629,73182,51607114.00,
532893,VTM LTD     ,X ,Q,24.95,24.95,23.90,24.55,24.55,24.40,87,16745,408814.00,
532894,IWIND ENERGY,B ,Q,3.95,4.06,3.95,4.06,4.06,3.87,69,46715,187668.00,
532895,NAGREKA CAP ,B ,Q,6.49,6.49,6.49,6.49,6.49,6.50,1,20,129.00,
532896,MAGNUM VENT ,B ,Q,4.41,4.79,4.40,4.60,4.60,4.60,11,6354,28305.00,
532898,POWER GRID  ,A ,Q,218.50,219.10,213.70,215.40,215.40,218.10,1321,132991,28718558.00,
532899,KAVERI SEED ,A ,Q,615.00,615.00,597.80,609.70,610.00,609.00,1235,33601,20280358.00,
532900,PAISALO     ,A ,Q,621.65,627.00,615.05,620.65,621.50,621.65,85,1127,699228.00,
532906,MAANALU     ,B ,Q,187.95,189.30,177.00,178.30,179.15,181.55,366,5595,1019357.00,
532907,ILFSENGG    ,Z ,Q,3.32,3.45,3.20,3.20,3.35,3.36,39,20025,65655.00,
532911,PARLEIND    ,X ,Q,9.04,9.05,8.94,8.99,8.99,9.03,543,73268,658476.00,
532915,RELIGARE ENT,A ,Q,91.10,106.00,88.70,100.85,100.85,89.70,8397,1032689,101805851.00,
532916,BARAK VALL  ,T ,Q,18.50,18.95,18.05,18.95,18.95,18.90,3,120,2179.00,
532918,RATHI BARS  ,X ,Q,19.95,19.95,18.45,18.80,18.70,19.15,61,13931,261906.00,
532921,ADANI PORTS ,A ,Q,750.00,753.65,735.70,740.75,740.75,738.20,13418,798253,593112781.00,
532922,EDELWEISS   ,A ,Q,57.50,59.85,56.85,59.85,59.85,57.00,1066,230743,13616200.00,
532923,RGL         ,B ,Q,388.00,390.00,379.40,381.85,383.95,384.40,283,2559,981307.00,
532924,KOLTEPATIL  ,A ,Q,210.35,213.15,208.30,209.50,209.45,209.15,282,3774,793890.00,
532925,KAUSHAL INFR,B ,Q,1.30,1.30,1.30,1.30,1.30,1.24,1,3000,3900.00,
532926,JYOTHYLAB   ,A ,Q,143.00,143.75,137.90,143.00,143.00,141.90,1325,33133,4714221.00,
